transaction_id,student_id,transaction_date,transaction_type,amount,payment_method,fee_type,academic_year,receipt_number,processed_by,status
T-2022-00125,STU-100123,05/02/2022,Payment,15600.00,EFT,Tuition,2022,R00125,FIN-001,Processed
T-2022-00126,100124,2022-02-05,Payment,14500,Credit Card,Tuition,2022,R00126,FIN-002,Processed
T-2022-00127,STU100125,06/02/2022,Payment,"17800,00",EFT,Tuition,2022,R00127,FIN-001,Processed
T-2022-00128,100126,2022-02-06,Payment,16400.00,Debit Card,Tuition,2022,R00128,FIN-003,Processed
T-2022-00129,STU-100127,07/02/2022,Payment,15900,Cash,Tuition,2022,R00129,FIN-002,Processed
T-2022-00130,100128,2022-02-07,NSFAS,14300.00,Bursary,Tuition,2022,R00130,FIN-004,Processed
T-2022-00131,STU-100123,10/02/2022,Payment,8500,EFT,Accommodation,2022,R00131,FIN-001,Processed
T-2022-00132,100129,2022-02-10,Payment,16200.00,Credit Card,Tuition,2022,R00132,FIN-002,Processed
T-2022-00133,STU-100130,11/02/2022,Payment,R 26000,EFT,Tuition,2022,R00133,FIN-003,Processed
T-2022-00134,100131,2022-02-12,Payment,13200,Debit Card,Tuition,2022,R00134,FIN-001,Processed
T-2022-00135,STU100132,12/02/2022,Payment,15400.00,Cash,Tuition,2022,R00135,FIN-002,Processed
T-2022-00136,100133,2022-02-15,NSFAS,14500,Bursary,Tuition,2022,R00136,FIN-004,Processed
T-2022-00137,STU-100134,15/02/2022,Payment,16500.50,EFT,Tuition,2022,R00137,FIN-001,Processed
T-2022-00138,100135,2022-02-15,Refund,-2500,EFT,Registration,2022,R00138,FIN-003,Processed
T-2022-00139,STU-100123,20/03/2022,Payment,1250.75,Credit Card,Books,2022,R00139,FIN-002,Processed
T-2022-00140,100124,2022-03-20,Late Fee,R 500,Debit Card,Administration,2022,R00140,FIN-001,Processed
T-2022-00141,STU100125,25/03/2022,Payment,5000,EFT,Residence,2022,R00141,FIN-003,Pending
T-2022-00142,100126,2022-03-30,NSFAS,8000.00,Bursary,Accommodation,2022,R00142,FIN-004,Processed
T-2022-00143,STU-100136,18/02/2022,Payment,14300.00,EFT,Tuition,2022,R00143,FIN-001,Processed
T-2022-00144,100137,2022-02-18,Payment,16400,Credit Card,Tuition,2022,R00144,FIN-002,Processed
T-2022-00145,STU100138,19/02/2022,Payment,"14500,00",EFT,Tuition,2022,R00145,FIN-001,Processed
T-2022-00146,100139,2022-02-19,NSFAS,15900.00,Bursary,Tuition,2022,R00146,FIN-004,Processed
T-2022-00147,STU-100140,20/02/2022,Payment,17800,Cash,Tuition,2022,R00147,FIN-002,Processed
T-2022-00148,100141,2022-02-20,Payment,15400.00,Debit Card,Tuition,2022,R00148,FIN-003,Processed
T-2022-00149,STU-100142,21/02/2022,Payment,8900,EFT,Tuition,2022,R00149,FIN-001,Processed
T-2022-00150,100143,2022-02-21,Payment,16200.00,Credit Card,Tuition,2022,R00150,FIN-002,Processed
T-2022-00151,STU-100144,22/02/2022,Payment,R 22000,EFT,Tuition,2022,R00151,FIN-003,Processed
T-2022-00152,100145,2022-02-22,NSFAS,13200,Bursary,Tuition,2022,R00152,FIN-004,Processed
T-2022-00153,STU100146,23/02/2022,Payment,16200.00,Cash,Tuition,2022,R00153,FIN-002,Processed
T-2022-00154,100147,2022-02-23,Payment,8900,Debit Card,Tuition,2022,R00154,FIN-001,Processed
T-2022-00155,STU-100148,24/02/2022,Payment,14800.50,EFT,Tuition,2022,R00155,FIN-001,Processed
T-2022-00156,100149,2022-02-24,Payment,13200.00,Credit Card,Tuition,2022,R00156,FIN-002,Processed
T-2022-00157,STU-100150,25/02/2022,Payment,14500,Cash,Tuition,2022,R00157,FIN-002,Processed
T-2022-00158,100151,2022-02-25,Payment,R 15600,EFT,Tuition,2022,R00158,FIN-003,Processed
T-2022-00159,STU100152,26/02/2022,NSFAS,14500,Bursary,Tuition,2022,R00159,FIN-004,Processed
T-2022-00160,100153,2022-02-26,Payment,16400.00,Debit Card,Tuition,2022,R00160,FIN-001,Processed
T-2022-00161,STU-100154,27/02/2022,Payment,17800,EFT,Tuition,2022,R00161,FIN-001,Processed
T-2022-00162,100155,2022-02-27,Payment,15900.00,Credit Card,Tuition,2022,R00162,FIN-002,Processed
T-2022-00163,STU-100156,28/02/2022,Payment,"15400,00",Cash,Tuition,2022,R00163,FIN-002,Processed
T-2022-00164,100157,2022-02-28,Payment,12900.00,Debit Card,Tuition,2022,R00164,FIN-003,Processed
T-2022-00165,STU100158,01/03/2022,Payment,16200,EFT,Tuition,2022,R00165,FIN-001,Processed
T-2022-00166,100159,2022-03-01,NSFAS,26000.00,Bursary,Tuition,2022,R00166,FIN-004,Processed
T-2022-00167,STU-100160,02/03/2022,Payment,13200,Credit Card,Tuition,2022,R00167,FIN-002,Processed
T-2022-00168,100161,2022-03-02,Payment,15600.00,EFT,Tuition,2022,R00168,FIN-001,Processed
